Ventas_norteamerica,Calificacion_critica
112604.52350147936,80.94274367188163
135549.5471904761,83.59927971964109
909230.4405342216,49.28233957278681
42446.65397089115,76.95283379041999
1028013.9822435275,82.1951469834926
46475.872160514045,48.95749855231409
58443.55031509561,74.63054644626652
355312.4228867787,51.571108760596445
205004.13352713763,65.40956258455603
318126.4790344121,54.433842477535876
77928.90773256631,53.846190974052035
349911.14830733737,22.965634934201375
48167.4527461791,91.03083784898979
110155.03480597376,88.76436613366803
35846.4249416892,60.372318627118545
286002.46610842,82.01099951757413
14887.173671222881,59.38608001348294
90794.40945055796,64.49249652292258
123953.28996666655,81.44022519582168
174182.2772410976,74.20835531629191
39383.89927640933,82.85698340780542
187975.41936173386,17.65397842579239
816856.2937452826,81.94466840265648
325565.3453292471,76.59536879843088
183349.45953033314,82.57526618246385
321472.80791564396,80.19372441005163
69872.7006169208,69.45977648326217
404711.5882013577,77.111663043839
211509.3228401795,83.34044263754555
74361.37437690992,70.3628332603817
420729.3274919407,55.20790727478675
303839.1010171706,67.01676170024885
138878.0482579216,71.23416385672223
162898.7546491096,59.77149394078185
194904.62488666488,68.53310831624216
358831.9693554519,69.04433436754911
21883.66425947095,87.20535684461095
21137.05403853857,80.49323631380832
617419.5822734515,85.79253714928817
280674.2715025942,72.49639269352608
96135.79165845441,57.930474298373554
156074.95526745231,66.00399606120035
41433.46157367388,50.35422797698206
69123.0376905906,79.12904589209137
134845.4701022226,62.47919941927273
100994.50322994853,66.85046934527918
1286128.1060104878,74.95314302054044
92837.25853713405,74.82728166086443
17065.0155903256,78.00401559976646
370248.87076588423,70.46903726164936
85493.57165940607,83.17408526950297
1263842.4046913248,48.950747931573574
1173575.7720131648,57.81777574233743
535374.3374506534,75.32381921014942
150159.8566156766,89.33449077924197
200590.19505929868,72.93390010566944
51399.940823500285,73.61912242231583
152448.44468322807,74.34089865996677
571136.5084923061,67.82801151125233
92632.32338184358,83.3511714147651
157179.64959544453,77.6298367822678
127979.59867527003,76.08116330715546
302217.18402609316,53.63743514206823
463458.20534213504,75.5046954688045
230357.25755873788,70.56534719863612
49438.69976420141,84.60549552243984
118934.1503792771,76.2520867236916
51798.31357570144,70.59022595383593
81199.31804679827,55.02418818726787
229693.4295831847,54.414985748416484
92109.6189025777,72.08289476687278
159296.42150495824,60.74036064802942
173420.61708232135,59.71224485014494
44247.206650499145,77.46789839824675
545823.6344981535,72.84675353475609
14845.37450945305,86.12196973336762
232877.26968838353,83.7174454993883
253775.12030535992,73.24853948036301
432443.352224025,88.62310188636133
789774.1542316694,66.51929443417782
399181.2183136201,47.32974646012309
65885.58306871672,86.22075421437557
30823.996570604613,66.42157049588215
49053.500817928514,86.94804846839159
566294.7022928855,83.3783514306752
42005.307585700095,53.41422115407593
543858.686248516,86.87318369094356
77250.002397802,30.95807014815847
42255.57990670242,82.67097231304166
29226.251091437436,44.65301304869169
10811.179654768242,76.49995573196296
126502.76943745092,63.48509575330252
125605.75898844744,77.08151821594791
118009.47318624426,25.064507062922246
273384.14316060726,78.75986735670611
359441.6534392219,73.60261863809833
56206.68393832155,86.2454861722282
646792.2954660881,94.18298965118498
366691.3838875144,60.61705777146602
687351.804326325,84.64737894886218
739775.0845611237,74.1981382591162
239555.97875906472,63.158532322402124
660767.003497925,79.4761213037325
217833.03847126287,57.02606599729444
541467.6332890929,76.85720779923847
35355.47353706973,75.5413931540233
14764.83953019624,64.83888904823206
31180.556779323,95.1817980671176
158315.85451408062,91.2322994714381
46857.13791859238,74.51316861636087
653675.5586911506,76.72875805870783
1434184.1861564342,51.59015199217964
86014.05621964394,65.56923363349546
281735.99889690895,85.94481432151741
132079.76992769234,81.95323703474293
85169.78120419414,69.05052327864556
905963.3447557221,41.60223560655484
108133.97768338292,81.19228586589915
342742.95584511705,56.19226972861486
1029731.8365823862,58.19152981207944
209972.5868746207,81.39525785033084
38876.61864535461,85.78088708546906
283752.6188592573,75.60104870665879
269006.80704744137,43.509489362032696
481492.93000930286,67.69072368270429
251138.82260687576,85.80358647726624
131384.7954878303,70.32376162163294
119088.67336417643,73.13497023631561
138951.12230776972,68.5344974478208
623696.608997592,93.0709000767065
45536.89750063296,87.76056868184168
429688.6864984271,80.2105522742024
598104.8242195648,47.906846510773505
181801.92755731483,88.67666160202918
214029.133886798,60.02814217692793
352826.4603962605,67.94878865687136
22651.35445814061,80.58272898096524
653767.6384586379,90.06905601967227
85850.21830466355,79.36309195894086
472218.61750134104,82.21803533942088
